x,y,p,h,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,app
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.71875,0.0395833333333333,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.25,0.0166666666666666,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0312499999999999,0.0020833333333333,0.4687499999999999,0.4791666666666667,0.0208333333333333,0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.1666666666666667,0.6666666666666666,0.1666666666666666,0.0,-0.0,0.0,0.0,0.0,0.1
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0208333333333333,0.4791666666666667,0.4791666666666664,0.0208333333333333,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1666666666666665,0.6666666666666666,0.1666666666666667,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.4791666666666666,0.46875,-0.0020833333333333,0.03125,0.0,0.0,0.2
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.5833333333333334,-0.0166666666666666,0.25,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.2604166666666667,-0.0395833333333333,0.71875,0.0,0.0,0.0
1.0,0.0,3,0.2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.3
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.71875,0.0395833333333333,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.25,0.0166666666666666,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.0,0.0,0.4
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0312499999999999,0.0020833333333333,0.4687499999999999,0.4791666666666667,0.0208333333333333,0.0,-0.0,0.0,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.1666666666666667,0.6666666666666666,0.1666666666666666,0.0,-0.0,0.0,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0208333333333333,0.4791666666666667,0.4791666666666664,0.0208333333333333,-0.0,0.0,0.0,0.0,0.5
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1666666666666665,0.6666666666666666,0.1666666666666667,-0.0,0.0,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.4791666666666666,0.46875,-0.0020833333333333,0.03125,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.5833333333333334,-0.0166666666666666,0.25,0.0,0.0,0.6000000000000001
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.2604166666666667,-0.0395833333333333,0.71875,0.0,0.0,0.0
0.71875,0.0395833333333333,3,0.2,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0
0.25,0.0166666666666666,3,0.2,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7000000000000001
0.25,0.0166666666666666,3,0.2,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.71875,0.0395833333333333,0.2604166666666667,0.0208333333333333,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.25,0.0166666666666666,3,0.2,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.25,0.0166666666666666,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.25,0.0166666666666666,3,0.2,0.5833333333333334,0.1666666666666666,0.0,0.0,-0.0,0.0,0.0312499999999999,0.0020833333333333,0.4687499999999999,0.4791666666666667,0.0208333333333333,0.0,-0.0,0.0,0.0,0.0,0.8
